,접수번호,법인구분,고유번호,법인명,취득방법 대분류,취득방법 중분류,취득방법 소분류,주식 종류,기초 수량,변동 수량 취득,변동 수량 처분,변동 수량 소각,기말 수량,비고
0,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
1,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
2,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
3,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
4,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
5,20160330003641,Y,00164742,현대자동차,,,,,,,,,,
6,20160330003641,Y,00164742,현대자동차,,,,보통주,,,,,,
7,20160330003641,Y,00164742,현대자동차,,,,우선주,,,,,,
8,20160330003641,Y,00164742,현대자동차,,,,보통주,,,,,,
9,20160330003641,Y,00164742,현대자동차,,,,우선주,,,,,,
10,20160330003641,Y,00164742,현대자동차,,,,보통주,,,,,,
11,20160330003641,Y,00164742,현대자동차,,,,우선주,,,,,,
12,20160330003641,Y,00164742,현대자동차,,,,보통주,,,,,,
13,20160330003641,Y,00164742,현대자동차,,,,우선주,,,,,,
0,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
1,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
2,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
3,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
4,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
5,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
6,20170331004820,Y,00164742,현대자동차,,,,,,,,,,
7,20170331004820,Y,00164742,현대자동차,,,,보통주,,,,,,
8,20170331004820,Y,00164742,현대자동차,,,,우선주,,,,,,
9,20170331004820,Y,00164742,현대자동차,,,,보통주,,,,,,
10,20170331004820,Y,00164742,현대자동차,,,,우선주,,,,,,
11,20170331004820,Y,00164742,현대자동차,,,,보통주,,,,,,
12,20170331004820,Y,00164742,현대자동차,,,,우선주,,,,,,
13,20170331004820,Y,00164742,현대자동차,,,,보통주,,,,,,
14,20170331004820,Y,00164742,현대자동차,,,,우선주,,,,,,
0,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
1,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
2,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
3,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
4,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
5,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
6,20180402004162,Y,00164742,현대자동차,,,,,,,,,,
7,20180402004162,Y,00164742,현대자동차,,,,보통주,,,,,,
8,20180402004162,Y,00164742,현대자동차,,,,우선주,,,,,,
9,20180402004162,Y,00164742,현대자동차,,,,보통주,,,,,,
10,20180402004162,Y,00164742,현대자동차,,,,우선주,,,,,,
11,20180402004162,Y,00164742,현대자동차,,,,보통주,,,,,,
12,20180402004162,Y,00164742,현대자동차,,,,우선주,,,,,,
13,20180402004162,Y,00164742,현대자동차,,,,보통주,,,,,,
14,20180402004162,Y,00164742,현대자동차,,,,우선주,,,,,,
0,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
1,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
2,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
3,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
4,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
5,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
6,20190401004132,Y,00164742,현대자동차,,,,,,,,,,
7,20190401004132,Y,00164742,현대자동차,,,,보통주,,,,,,
8,20190401004132,Y,00164742,현대자동차,,,,우선주,,,,,,
9,20190401004132,Y,00164742,현대자동차,,,,보통주,,,,,,
10,20190401004132,Y,00164742,현대자동차,,,,우선주,,,,,,
11,20190401004132,Y,00164742,현대자동차,,,,보통주,,,,,,
12,20190401004132,Y,00164742,현대자동차,,,,우선주,,,,,,
13,20190401004132,Y,00164742,현대자동차,,,,보통주,,,,,,
14,20190401004132,Y,00164742,현대자동차,,,,우선주,,,,,,
0,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
1,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
2,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
3,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
4,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
5,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
6,20200330004041,Y,00164742,현대자동차,,,,,,,,,,
7,20200330004041,Y,00164742,현대자동차,,,,보통주,,,,,,
8,20200330004041,Y,00164742,현대자동차,,,,우선주,,,,,,
9,20200330004041,Y,00164742,현대자동차,,,,보통주,,,,,,
10,20200330004041,Y,00164742,현대자동차,,,,우선주,,,,,,
11,20200330004041,Y,00164742,현대자동차,,,,보통주,,,,,,
12,20200330004041,Y,00164742,현대자동차,,,,우선주,,,,,,
13,20200330004041,Y,00164742,현대자동차,,,,보통주,,,,,,
14,20200330004041,Y,00164742,현대자동차,,,,우선주,,,,,,
0,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
1,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
2,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
3,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
4,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
5,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
6,20210316000986,Y,00164742,현대자동차,,,,,,,,,,
7,20210316000986,Y,00164742,현대자동차,,,,보통주,,,,,,
8,20210316000986,Y,00164742,현대자동차,,,,우선주,,,,,,
9,20210316000986,Y,00164742,현대자동차,,,,보통주,,,,,,
10,20210316000986,Y,00164742,현대자동차,,,,우선주,,,,,,
11,20210316000986,Y,00164742,현대자동차,,,,보통주,,,,,,
12,20210316000986,Y,00164742,현대자동차,,,,우선주,,,,,,
13,20210316000986,Y,00164742,현대자동차,,,,보통주,,,,,,
14,20210316000986,Y,00164742,현대자동차,,,,우선주,,,,,,
