"시점","항목",가구원수 (명),가구주연령 (세),가구분포 (%),소득,경상소득,근로소득,사업소득,재산소득,이전소득,비경상소득,가계지출,소비지출,01.식료품 · 비주류음료,02.주류 · 담배,03.의류 · 신발,04.주거 · 수도 · 광열,05.가정용품 · 가사서비스,06.보건,07.교통,08.통신,09.오락 · 문화,10.교육,11.음식 · 숙박,12.기타상품 · 서비스,비소비지출,처분가능소득,흑자액,흑자율,평균소비성향
"2019 1/4","전체가구",3.04,52.17,100.00,5168179,5084463,3465641,917990,36521,664311,83716,4146878,3060837,403093,37599,165318,344711,149520,247800,328008,143944,243162,358438,393718,245524,1086041,4082137,1021300,25.0,75.0
"2019 1/4","근로자가구",3.19,48.35,62.91,5979911,5892310,5071756,245505,32563,542485,87602,4591506,3300526,415549,39894,185612,341666,167752,244376,356164,151443,269393,407953,452293,268430,1290979,4688932,1388405,29.6,70.4
"2019 1/4","근로자외가구",2.79,58.64,37.09,3791243,3714119,741202,2058720,43233,870963,77124,3392660,2654253,381966,33706,130894,349876,118593,253608,280248,131222,198666,274447,294357,206669,738407,3052836,398583,13.1,86.9
"2019 2/4","전체가구",3.03,52.19,100.00,5032390,4969763,3399746,986861,38040,545117,62627,3829373,2835428,378435,36955,179398,279513,148658,235163,307864,150251,220143,238535,408270,252244,993944,4038446,1203017,29.8,70.2
"2019 2/4","근로자가구",3.14,49.13,65.32,5607017,5552438,4802217,294274,31412,424534,54579,4175225,3014891,388490,39000,198422,277149,151689,235643,338320,153072,233393,280377,455271,264065,1160334,4446683,1431792,32.2,67.8
"2019 2/4","근로자외가구",2.82,57.96,34.68,3950282,3872501,758682,2291105,50522,772192,77782,3178081,2497473,359499,33104,143573,283966,142948,234258,250511,144940,195191,159740,319760,229982,680609,3269674,772201,23.6,76.4
"2019 3/4","전체가구",3.03,52.05,100.00,5222363,5162171,3515495,1000602,33787,612287,60192,4080773,2986310,420222,38820,137115,263084,135851,228023,383895,152177,229064,341887,419005,237165,1094462,4127901,1141591,27.7,72.3
"2019 3/4","근로자가구",3.14,48.43,63.99,5782754,5717146,4996531,243346,18308,458961,65608,4468083,3206345,422257,40794,150318,256201,149549,217028,449951,161305,247939,394376,468194,248434,1261737,4521017,1314672,29.1,70.9
"2019 3/4","근로자외가구",2.84,58.48,36.01,4226698,4176129,884088,2346044,61289,884707,50569,3392625,2595367,416607,35314,113657,275314,111514,247558,266530,135960,195529,248629,331610,217144,797259,3429439,834073,24.3,75.7
"2019 4/4","전체가구",3.03,52.08,100.00,5069485,5001349,3418864,1047556,26443,508487,68135,3897052,2908201,407853,35372,196410,283136,137424,249302,373946,158385,191314,218862,406624,249574,988852,4080633,1172432,28.7,71.3
"2019 4/4","근로자가구",3.15,48.59,64.29,5561546,5483521,4833185,271850,16430,362056,78025,4246075,3104197,411084,36579,213807,291905,144953,247807,406673,164028,214165,256310,454568,262317,1141878,4419668,1315471,29.8,70.2
"2019 4/4","근로자외가구",2.83,58.37,35.71,4183621,4133290,872646,2444069,44468,772106,50331,3268703,2555347,402037,33200,165089,267348,123871,251993,315026,148224,150175,151443,320309,226631,713357,3470264,914917,26.4,73.6
"2020 1/4","전체가구",3.02,52.54,100.00,5358324,5207820,3529375,937872,44717,695856,150504,3945340,2877913,445304,36028,119074,338550,132189,272332,342062,144606,180885,264068,349689,253127,1067427,4290897,1412983,32.9,67.1
"2020 1/4","근로자가구",3.16,48.61,61.32,6204042,6063451,5206232,267739,36003,553477,140591,4421825,3115653,467323,37666,133341,336270,147546,281766,364321,152976,198531,321648,404282,269984,1306173,4897869,1782216,36.4,63.6
"2020 1/4","근로자외가구",2.79,58.78,38.68,4017732,3851515,871303,2000135,58529,921548,166217,3190039,2501060,410400,33433,96460,342163,107847,257377,306778,131337,152913,172795,263151,226406,688979,3328753,827694,24.9,75.1
"2020 2/4","전체가구",3.02,52.52,100.00,5271568,5181152,3220216,941926,33598,985412,90416,3882432,2911714,454322,40463,169021,298731,180407,252899,383725,145104,173985,168431,387847,256779,970718,4300850,1389135,32.3,67.7
"2020 2/4","근로자가구",3.13,48.83,61.49,5887378,5798032,4734711,223933,20190,819198,89346,4255991,3116685,467177,43127,190074,298373,192193,246935,422600,151427,193275,205215,435394,270895,1139307,4748071,1631387,34.4,65.6
"2020 2/4","근로자외가구",2.85,58.43,38.51,4288123,4195998,801577,2088555,55011,1250854,92125,3285861,2584378,433793,36209,135400,299304,161586,262424,321641,135005,143178,109688,311915,234236,701483,3586639,1002261,27.9,72.1
"2020 3/4","전체가구",3.02,52.47,100.00,5305136,5224892,3476747,990889,40043,717212,80244,3989044,2944884,498778,42980,118402,280694,162777,257251,336185,154056,164679,295327,391510,242244,1044161,4260975,1316091,30.9,69.1
"2020 3/4","근로자가구",3.14,48.87,62.68,5921988,5839425,5041025,233263,31832,533305,82563,4349033,3130277,507251,46734,132851,287087,169792,248175,361114,161544,177281,346072,437197,255179,1218757,4703231,1572954,33.4,66.6
"2020 3/4","근로자외가구",2.83,58.50,37.32,4269115,4192767,849499,2263344,53834,1026090,76349,3384433,2633511,484546,36677,94135,269957,150994,272495,294317,141480,143514,210100,314776,220520,750922,3518193,884682,25.1,74.9
"2020 4/4","전체가구",3.01,52.50,100.00,5160954,5059363,3400959,993747,28392,636266,101590,3892091,2906561,476820,39790,178368,298628,158917,270487,383813,147555,155456,185590,360739,250397,985530,4175424,1268863,30.4,69.6
"2020 4/4","근로자가구",3.11,48.99,62.68,5732311,5637363,4896443,262419,19669,458832,94948,4276238,3116961,478589,42226,199008,302935,171783,273004,432112,156782,175827,220885,405359,258451,1159277,4573034,1456073,31.8,68.2
"2020 4/4","근로자외가구",2.84,58.40,37.32,4201188,4088441,888846,2222231,43044,934319,112748,3246801,2553132,473848,35697,143697,291394,137304,266259,302681,132056,121237,126302,285787,236869,693670,3507519,954387,27.2,72.8
"2021 1/4","전체가구",2.99,52.87,100.00,5320204,5214881,3404868,953102,39047,817864,105322,3993837,2941889,473905,39676,130642,374847,148945,255596,333322,147865,167007,292744,340671,236671,1051947,4268256,1326367,31.1,68.9
"2021 1/4","근로자가구",3.12,48.99,60.27,6127869,6024665,5153665,228986,31223,610791,103204,4506216,3212612,483099,43263,147627,384974,169973,263658,384699,154027,190171,339826,393048,258248,1293604,4834265,1621653,33.5,66.5
"2021 1/4","근로자외가구",2.80,58.74,39.74,4095231,3986696,752497,2051358,50914,1131927,108534,3216719,2531289,459962,34236,104880,359487,117051,243368,255399,138519,131875,221337,261232,203944,685430,3409800,878512,25.8,74.2
