"SF_L_UPJONG_CD(대분류코드)","SF_L_UPJONG_NM(대분류_11분류)","SF_M_UPJONG_CD(중분류코드)","SF_M_UPJONG_NM(중분류_25분류)","SF_UPJONG_CD(외국인관광업종코드)","SF_UPJONG_NM(소분류_56분류)"
"01","요식/유흥","0101","한식","sf010101","한식"
"01","요식/유흥","0102","일식/중식/양식","sf010202","일식"
"01","요식/유흥","0102","일식/중식/양식","sf010203","양식"
"01","요식/유흥","0102","일식/중식/양식","sf010204","중식"
"01","요식/유흥","0103","제과/커피/패스트푸드","sf010305","제과점"
"01","요식/유흥","0103","제과/커피/패스트푸드","sf010306","커피전문점"
"01","요식/유흥","0103","제과/커피/패스트푸드","sf010307","패스트푸드"
"01","요식/유흥","0104","기타요식","sf010408","기타요식"
"01","요식/유흥","0105","유흥","sf010509","노래방"
"01","요식/유흥","0105","유흥","sf010510","기타유흥업소"
"01","요식/유흥","0105","유흥","sf010511","유흥주점"
"02","유통","0206","백화점","sf020612","백화점"
"02","유통","0207","할인점/슈퍼마켓","sf020713","할인점/슈퍼마켓"
"02","유통","0207","할인점/슈퍼마켓","sf020714","슈퍼마켓"
"02","유통","0207","할인점/슈퍼마켓","sf020715","생활잡화"
"02","유통","0208","편의점","sf020816","편의점"
"02","유통","0209","기타유통","sf020917","기타유통"
"03","음/식료품","0310","음/식료품","sf031018","정육점"
"03","음/식료품","0310","음/식료품","sf031019","농수산물"
"03","음/식료품","0310","음/식료품","sf031020","기타음/식료품"
"04","의류/잡화","0411","의복/의류","sf041121","의복/의류"
"04","의류/잡화","0412","패션/잡화","sf041222","패션/잡화"
"04","의류/잡화","0412","패션/잡화","sf041223","시계/귀금속"
"04","의류/잡화","0412","패션/잡화","sf041224","안경"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051325","실내골프/헬스"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051326","실외골프/스키"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051327","종합레저시설"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051328","영화/공연"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051329","스포츠시설"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051330","취미/오락"
"05","스포츠/문화/레저","0513","스포츠/문화/레저","sf051331","서점"
"05","스포츠/문화/레저","0514","스포츠/문화/레저용품","sf051432","스포츠/레저용품"
"05","스포츠/문화/레저","0514","스포츠/문화/레저용품","sf051433","문화용품"
"05","스포츠/문화/레저","0514","스포츠/문화/레저용품","sf051434","화원"
"06","여행/교통","0615","숙박","sf061535","호텔/콘도"
"06","여행/교통","0615","숙박","sf061536","모텔/여관/기타숙박"
"06","여행/교통","0616","여행","sf061637","여행사"
"06","여행/교통","0616","여행","sf061638","항공"
"06","여행/교통","0616","여행","sf061639","면세점"
"06","여행/교통","0617","교통","sf061740","교통"
"07","미용","0718","미용서비스","sf071841","미용실"
"07","미용","0718","미용서비스","sf071842","미용서비스"
"07","미용","0719","화장품","sf071943","화장품"
"08","의료","0820","병원","sf082044","종합병원"
"08","의료","0820","병원","sf082045","일반병원"
"08","의료","0820","병원","sf082046","치과병원"
"08","의료","0820","병원","sf082047","한의원"
"08","의료","0821","약국","sf082148","약국"
"08","의료","0822","기타의료","sf082249","기타의료"
"09","가전/가구","0923","가전/가구","sf092350","가전"
"09","가전/가구","0923","가전/가구","sf092351","가구"
"09","가전/가구","0923","가전/가구","sf092352","기타가전/가구"
"10","자동차","1024","자동차서비스/용품","sf102453","자동차서비스"
"10","자동차","1024","자동차서비스/용품","sf102454","자동차용품"
"11","주유","1125","주유","sf112555","주유소"
"11","주유","1125","주유","sf112556","LPG"
